name,place,sum_views,pref,geometry,address
緒方恵美,千代田区,772491.0,東京都,POINT (139.7532163 35.6938097),"千代田区, 東京都, 日本"
MEGUMI,松江市,768790.0,島根県,POINT (133.048768 35.468115),"松江市, 島根県, 日本"
MEGUMI,倉敷市,768790.0,岡山県,POINT (133.7719957 34.5850791),"倉敷市, 岡山県, 日本"
山本五十六,長岡市,768162.0,新潟県,POINT (138.8512199 37.446996),"長岡市, 新潟県, 日本"
松平健,豊橋市,767640.0,愛知県,POINT (137.391461 34.769123),"豊橋市, 愛知県, 日本"
渡辺謙,魚沼市,767199.0,新潟県,POINT (138.9611531 37.2303274),"魚沼市, 新潟県, 日本"
長渕剛,日置市,766883.0,鹿児島県,POINT (130.4024361 31.6336972),"日置市, 鹿児島県, 日本"
源義朝,美浜町,758711.0,愛知県,POINT (136.8872388 34.7821348),"美浜町, 知多郡, 愛知県, 日本"
竹達彩奈,平内町,751046.0,青森県,POINT (140.9562206 40.9260344),"平内町, 東津軽郡, 青森県, 日本"
小泉純一郎,南さつま市,750767.0,鹿児島県,POINT (130.3236567 31.4165805),"南さつま市, 鹿児島県, 日本"
UA (歌手),吹田市,750203.0,大阪府,POINT (135.51735 34.764884),"吹田市, 大阪府, 日本"
のん (女優),神河町,741549.0,兵庫県,POINT (134.7394848 35.0642343),"神河町, 神崎郡, 兵庫県, 日本"
秋元康,目黒区,739111.0,東京都,POINT (139.688014 35.62125),"目黒区, 東京都, 日本"
山崎浩子,指宿市,738282.0,鹿児島県,POINT (130.6333097 31.2527953),"指宿市, 鹿児島県, 日本"
小林麻耶,小千谷市,734282.0,新潟県,POINT (138.7951327 37.3142715),"小千谷市, 新潟県, 日本"
小林麻耶,越谷市,734282.0,埼玉県,POINT (139.7908633 35.8903993),"越谷市, 埼玉県, 日本"
与沢翼,秩父市,734212.0,埼玉県,POINT (139.0857612 35.9914509),"秩父市, 埼玉県, 日本"
岡田准一,枚方市,731809.0,大阪府,POINT (135.659225 34.818215),"枚方市, 大阪府, 日本"
榮倉奈々,肝付町,731306.0,鹿児島県,POINT (130.972192 31.298604),"肝付町, 肝属郡, 鹿児島県, 日本"
山田孝之,薩摩川内市,728762.0,鹿児島県,POINT (130.3039789 31.813421),"薩摩川内市, 鹿児島県, 日本"
椎名林檎,東広島市,726104.0,広島県,POINT (132.741552 34.42683),"東広島市, 広島県, 日本"
水卜麻美,市川市,725196.0,千葉県,POINT (139.928568 35.729412),"市川市, 千葉県, 日本"
なかやまきんに君,北九州市,722633.0,福岡県,POINT (130.8749015 33.8829996),"北九州市, 福岡県, 日本"
東條英機,盛岡市,720621.0,岩手県,POINT (141.1545397 39.7021331),"盛岡市, 岩手県, 日本"
